 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Î› (Lambda)	
k_1.0	k_1.0	225	400	[...]	0,5625	7	7,162671	4,815	0,82125	1,61799	
k_2.0	k_2.0	227	394	[...]	0,576142	6,666667	7,213779	4,563452	0,843204	1,578178	
k_3.0	k_3.0	230	400	[...]	0,575	7,666667	7,240429	4,6425	0,855972	1,583049	
k_4.0	k_4.0	233	396	[...]	0,588384	8,333333	7,241439	4,646465	0,842733	1,59479	
k_5.0	k_5.0	224	398	[...]	0,562814	7,333333	7,209537	4,731156	0,831379	1,548756	
k_6.0	k_6.0	221	400	[...]	0,5525	8	7,185819	4,685	0,84	1,519457	
k_7.0	k_7.0	236	400	[...]	0,59	7	7,257533	4,885	0,83625	1,625898	
k_8.0	k_8.0	232	400	[...]	0,58	7	7,250018	4,7	0,84875	1,608779	
k_9.0	k_9.0	213	400	[...]	0,5325	8	7,038712	4,6725	0,81	1,471826	
k_10.0	k_10.0	240	400	[...]	0,6	8	7,396095	4,78	0,8675	1,607339	
k_11.0	k_11.0	241	400	[...]	0,6025	7	7,391479	4,67	0,87375	1,665312	
k_12.0	k_12.0	213	400	[...]	0,5325	7,5	7,070751	4,6425	0,835312	1,554638	
k_13.0	k_13.0	226	400	[...]	0,565	8	7,192663	4,6275	0,835	1,539277	
k_14.0	k_14.0	231	400	[...]	0,5775	6,5	7,318713	4,6475	0,870312	1,608299	
k_15.0	k_15.0	229	400	[...]	0,5725	6,5	7,266677	4,745	0,865312	1,588141	
k_16.0	k_16.0	221	400	[...]	0,5525	6,5	7,173388	4,715	0,845312	1,586035	
k_17.0	k_17.0	223	400	[...]	0,5575	7	7,205128	4,8525	0,84125	1,559403	
k_18.0	k_18.0	212	400	[...]	0,53	8	7,146828	4,7375	0,8525	1,407573	
k_19.0	k_19.0	221	400	[...]	0,5525	8	7,13311	4,7825	0,8425	1,581839	
k_20.0	k_20.0	243	400	[...]	0,6075	7,5	7,331927	4,59	0,842812	1,64717	
k_21.0	k_21.0	218	400	[...]	0,545	8	7,190937	4,6975	0,8575	1,508805	
k_22.0	k_22.0	218	400	[...]	0,545	8	7,074254	4,685	0,8075	1,521069	
k_23.0	k_23.0	221	400	[...]	0,5525	8	7,154311	4,9175	0,8325	1,555393	
k_24.0	k_24.0	242	400	[...]	0,605	8	7,252543	4,8725	0,825	1,633554	
k_25.0	k_25.0	239	400	[...]	0,5975	7	7,314547	5,0025	0,83625	1,63783	
k_26.0	k_26.0	227	400	[...]	0,5675	7,5	7,229365	4,6875	0,847812	1,538214	
k_27.0	k_27.0	217	400	[...]	0,5425	8	7,119362	4,7125	0,8275	1,481161	
k_28.0	k_28.0	245	400	[...]	0,6125	7	7,417968	4,9275	0,86125	1,63896	
k_29.0	k_29.0	226	400	[...]	0,565	7	7,252007	4,855	0,86125	1,563498	
k_30.0	k_30.0	254	400	[...]	0,635	7	7,54821	4,69	0,89125	1,703118	
k_31.0	k_31.0	211	400	[...]	0,5275	8	7,109081	4,615	0,845	1,488518	
k_32.0	k_32.0	244	400	[...]	0,61	7	7,421775	4,8925	0,87625	1,681041	
k_33.0	k_33.0	229	400	[...]	0,5725	7	7,249936	4,905	0,85125	1,549848	
k_34.0	k_34.0	223	400	[...]	0,5575	7,666667	7,111564	4,745	0,828472	1,527858	
k_35.0	k_35.0	219	400	[...]	0,5475	7	7,206773	4,585	0,86625	1,525572	
k_36.0	k_36.0	224	400	[...]	0,56	7,666667	7,149241	4,535	0,830972	1,545321	
k_37.0	k_37.0	221	400	[...]	0,5525	7	7,168107	4,7025	0,84375	1,567858	
k_38.0	k_38.0	226	400	[...]	0,565	8	7,195358	4,8825	0,8325	1,562819	
k_39.0	k_39.0	230	400	[...]	0,575	7,333333	7,242172	4,8675	0,844722	1,578182	
k_40.0	k_40.0	224	400	[...]	0,56	7,333333	7,22408	4,8275	0,852222	1,539151	
k_41.0	k_41.0	242	400	[...]	0,605	7	7,318286	4,715	0,85625	1,687661	
k_42.0	k_42.0	244	400	[...]	0,61	7	7,410091	4,87	0,86875	1,665009	
k_43.0	k_43.0	224	400	[...]	0,56	8	7,145576	4,515	0,805	1,538515	
k_44.0	k_44.0	211	400	[...]	0,5275	8,5	7,066569	4,4575	0,837813	1,470631	
k_45.0	k_45.0	223	400	[...]	0,5575	7,5	7,095986	4,815	0,820312	1,58701	
k_46.0	k_46.0	231	400	[...]	0,5775	8	7,244967	4,76	0,8425	1,558888	
k_47.0	k_47.0	224	400	[...]	0,56	7	7,302617	4,735	0,87375	1,545141	
k_48.0	k_48.0	224	398	[...]	0,562814	8	7,202917	4,693467	0,856784	1,541766	
k_49.0	k_49.0	211	400	[...]	0,5275	8	7,089254	4,6875	0,8325	1,461836	
k_50.0	k_50.0	230	399	[...]	0,576441	8	7,20761	4,701754	0,822055	1,555358	
k_51.0	k_51.0	235	400	[...]	0,5875	7	7,363748	4,7425	0,87125	1,568563	
k_52.0	k_52.0	235	400	[...]	0,5875	7,5	7,28171	5,295	0,857812	1,642389	
k_53.0	k_53.0	254	400	[...]	0,635	6,5	7,511145	5,225	0,880312	1,697507	
k_54.0	k_54.0	249	400	[...]	0,6225	6,5	7,509075	5,055	0,907812	1,669539	
k_55.0	k_55.0	257	393	[...]	0,653944	7	7,572615	5,486005	0,894402	1,749444	
